"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","FDIFLOW","INWARD","MLN_USD","A","2015",465.21367868906,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2016",9814.49575706,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2017",9517.9483440594,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2018",11010.423243656,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2019",10108.913920396,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2020",9410.5639633818,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2021",9048.960437594,
"CZE","FDIFLOW","INWARD","MLN_USD","A","2022",9855.8346252345,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2005",-18.743477353371,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2006",1468.6561877352,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2007",1620.5677953571,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2008",4321.5072022485,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2009",950.12073490814,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2010",1167.9656175476,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2011",-328.15447094607,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2012",1793.827413246,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2013",4021.2340686588,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2014",1619.5357889564,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2015",2488.0250477778,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2016",2181.7453335843,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2017",7557.0480425905,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2018",8662.6027390956,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2019",4128.359738521,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2020",2989.4045880452,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2021",7732.9443506655,
"CZE","FDIFLOW","OUTWARD","MLN_USD","A","2022",2474.3382611153,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2005",8.497976954953,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2006",3.4974032983394,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2007",5.4926972744441,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2008",2.7230421311364,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2009",1.4119235094167,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2010",2.9399898415032,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2011",1.0118845646782,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2012",3.8304792178243,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2013",1.7200059344085,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2014",2.6232284713626,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2015",0.24741052436463,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2016",5.0004538378404,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2017",4.3534721823416,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2018",4.4218478451473,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2019",4.0027661731091,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2020",3.8258275299083,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2021",3.2112288948675,
"CZE","FDIFLOW","INWARD","PC_GDP","A","2022",3.392391850287,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2005",-0.0136670648047,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2006",0.93985454616937,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2007",0.85210477393068,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2008",1.8248305768079,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2009",0.45803453667409,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2010",0.55864838388864,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2011",-0.14294764390995,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2012",0.85887540332293,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2013",1.8996257037129,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2014",0.77356948404194,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2015",1.3231846136546,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2016",1.1115921894066,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2017",3.4565640876346,
